sample_id,smiles
26,CC1=CC=C(C2=C3C(C(N2CC(CCCCCCCCCCCCCC)CCCCCCCCCC)=O)=C(C4=CC=C(C5=CC=C(C)C6=NSN=C65)S4)N(CC(CCCCCCCCCC)CCCCCCCCCCCCCC)C3=O)S1
27,CC(S1)=NC2=C1C(SC(C)=N3)=C3C(N(CC(CCCCCC)CCCCCCCC)C2=O)=O
28,CC1=C(C#N)C(OCC(CC)CCCC)=C(C2=C(OCC(CC)CCCC)C(C#N)=C(C)S2)S1
29,CC1=CC(C(N2CC(CCCCCC)CCCCCCCC)=O)=C(S1)C3=C(N=C(C(S4)=NC5=C4C(SC(C)=C6)=C6C(N(CC(CCCCCC)CCCCCCCC)C5=O)=O)S3)C2=O
30,CC1=CC(C(N2CC(CCCCCCCCCC)CCCCCCCC)=O)=C(S1)C(SC(C)=C3)=C3C2=O
31,O=C1OC2=C(C=C(OC(/C3=C4C(C=CC(/C=C/C)=C5F)=C5N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C\4=O)=O)C3=C2)/C1=C(C6=C(N7CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C(F)=C(C)C=C6)\C7=O
32,CC1=CC(C(N2CC(CCCCCC)CCCCCCCC)=O)=C(S1)C3=C(N=C(C(S4)=NC5=C4C(SC(C6=C(F)C(F)=C(C)S6)=C7)=C7C(N(CC(CCCCCC)CCCCCCCC)C5=O)=O)S3)C2=O
33,O=C1C2=CC=C3C4=C2C(C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)=O)=CC(C5=CC=C(C(C=CC(C)=C6)=C6C7=O)C7=C5)=C4C8=CC=C9C%10=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C9=O)=O)C=C(C)C3=C8%10
34,CC1=CC2=C(N=C(C3=CC=C(/C(N(C)C4=O)=N/C)C5=C4C=CC6=C35)N2C6=O)C=C1C
35,CC1=CC(C(N2CC(CCCCCC)CCCCCCCC)=O)=C(S1)C3=C(N=C(C(S4)=NC5=C4C(SC(C6=CC=C(C)S6)=C7)=C7C(N(CC(CCCCCC)CCCCCCCC)C5=O)=O)S3)C2=O
